cat,var,arr
CW,CW_pF,zonebuf_df
CW,CW_Posgro,zone_df
CW,CW_Pot,zone_df
CW,CW_PotAct,zone_df
CW,CW_PotActCor,zone_df
CW,CW_PotActRange,zonebuf_df
CW,CW_PotDelta,zonelayer_df
CW,CW_PotFlux,zonelayer_df
CW,CW_PotFluxNeg,zone_df
CW,CW_PotFluxPos,zone_df
CW,CW_PotFluxSum,zone_df
CW,CW_PotFluxSumAbs,zonelayer_df
CW,CW_PotRadial,zone_df
CW,CW_PotRange,zonebuf_df
CW,CW_PotSoil,zonebuf_df
CW,CW_PotSoilbest,zone_df
CW,CW_PotSoilMax,zone_df
CW,CW_PotSoilMin,zone_df
CW,CW_PotSuctHalf,zone_df
CW,CW_PotUptRange,zonebuf_df
CW,CW_PStem,zonelayer_df
CW,CW_PStemSum,zone_df
CW,CW_PU,zonelayerbuf_df
CW,CW_ScalingFacNeg,zone_df
CW,CW_ScalingFacPos,zone_df
CW,CW_ThetaRange,zonelayerbuf_df
CW,CW_UptDeno,zone_df
CW,CW_UptPot,zone_df
CW,CW_UptRel,zonelayer_df
CW,CW_UptRelDeno,zone_df
CW,CW_UptTot,zone_df
CW,CW_WettestVoxel,zone_df
CW,CW_YDayWUotChange,zone_df
E,E_Alpha,
E,E_BulkDens,
E,E_CovEffT,tree_df
E,E_CoverFac,zone_df
E,E_CoverSum,zone_df
E,E_CumSoilInflowZn,zone_df
E,E_Epsilon,
E,E_Erosiveness,
E,E_ErosRose,zone_df
E,E_ErosUSLE,zone_df
E,E_Heat,
E,E_PloughDoY,
E,E_PloughEvent,
E,E_PloughPast,
E,E_PloughTime_is,zone_df
E,E_PloughTimeCal,
E,E_PloughY,
E,E_Rain,zone_df
E,E_SedConAvg,
E,E_SedConcinRunOff,zone_df
E,E_SlopeFac,zone_df
E,E_SoilInflow,zone_df
E,E_SoilLoss,zone_df
E,E_SoilLossCumZn,zone_df
E,E_SoilMoveCurr,zone_df
E,E_SoilMovPlou,zone_df
E,E_TopSoilDepthAct,zone_df
EVAP,EVAP_CropWatDem,zone_df
EVAP,EVAP_DailyPot,
EVAP,EVAP_EpotDemandNotMetBy,
EVAP,EVAP_FromDeadWood,zone_df
EVAP,EVAP_InitWoodMoist,zone_df
EVAP,EVAP_LightNotCaptured,zone_df
EVAP,EVAP_Pot,
EVAP,EVAP_PotSoilEvap,zone_df
EVAP,EVAP_RedFact,zone_df
EVAP,EVAP_SlashEvap,zone_df
EVAP,EVAP_SlashInit,zone_df
EVAP,EVAP_SlashWater,zone_df
EVAP,EVAP_Surf,zone_df
EVAP,EVAP_SurfCum,zone_df
EVAP,EVAP_TreeWatDem,tree_df
EVAP,EVAP_TTranspHist,
EVAP,EVAP_WoodMoist,zone_df
EVAP,EVAP_YesterdayTTransp,
G,G_Animal,pcomp_df
G,G_AnimalBehModifiedManWght,zone_df
G,G_AttrractGrasStL,zone_df
G,G_BiomassGrazed,pcomp_df
G,G_BiomDep,zone_df
G,G_CumFeedSufficiency,pcomp_df
G,G_Feed,pcomp_df
G,G_GrazeAccess,zone_df
G,G_Grazed,pcomp_df
G,G_Grazed,pcomp_df
G,G_GrazedBiomCum,pcomp_df
G,G_GrazedPerZone,zonepcomp_df
G,G_GrazeResp,pcomp_df
G,G_GrazeToday_is,
G,G_GrazingPressure,
G,G_LivestWeightGain,pcomp_df
G,G_ManureDirectWeight,zone_df
G,G_ManureInputPerZone,zonepcomp_df
G,G_ManureProd,pcomp_df
G,G_Ndep,zone_df
G,G_Pasture,
G,G_StageDep,zone_df
G,G_ZoneGrazeFrac,zone_df
GHG,GHG_AnaerobIndic,zone_df
GHG,GHG_AnaerobIndicCh,zone_df
GHG,GHG_CH4FluxFld,
GHG,GHG_CH4FluxZn,zone_df
GHG,GHG_Cum_CH4_emission,
GHG,GHG_EffWaterfPoreF,zone_df
GHG,GHG_GWP_N2O_CH4,
GHG,GHG_N2_Em,zone_df
GHG,GHG_N2_EmZn,zone_df
GHG,GHG_N2_Fraction,
GHG,GHG_N2O_Fraction,
GHG,GHG_N2_per_NOx,zone_df
GHG,GHG_Net_CH4_Em,zone_df
GHG,GHG_NFluxEmZn,zone_df
GHG,GHG_NFluxFld,
GHG,GHG_NgasEmissionFCum,
GHG,GHG_NgasEmissionFlux,zone_df
GHG,GHG_NgassLossFluxField,
GHG,GHG_NitOxEm,zonelayer_df
GHG,GHG_Nitric_Oxide_EmZn,zone_df
GHG,GHG_Nitrous_Oxide_EmZn,zone_df
GHG,GHG_N2LossSubs,zone_df
GHG,GHG_N2O_Em,zone_df
GHG,GHG_N2O_EmField,
GHG,GHG_N2O_EmFraction,zone_df
GHG,GHG_N2O_Fraction,
GHG,GHG_N2OFluxFld,
GHG,GHG_TotNloss,zone_df
LIGHT,LIGHT_CRelCap,zone_df
LIGHT,LIGHT_CRelSupply,zone_df
L,L_Bottom,zone_df
L,L_Mid,zone_df
L,L_MidBot,zone_df
L,L_MidTop,zone_df
L,L_Top,zone_df
LF,LF_AvgWatDef,layer_df
LF,LF_HDrainCum,layer_df
LF,LF_HMaxDailyFlow,zonelayer_df
LF,LF_HMaxMailyFlow,zone_df
LF,LF_InflowFromGW,layer_df
LF,LF_LatAc,layer_df
LF,LF_LatInCum,layer_df
LF,LF_LatInflow,layer_df
LF,LF_MaxProfHOutflow,
LF,LF_MaxProfVAbsorption,
LF,LF_MaxVInflow,zonelayer_df
LF,LF_MVIZF,zonelayer_df
LF,LF_RelDistInflowFromGW,layer_df
LF,LF_RunOn,
LF,LF_SICZF,zone_df
LF,LF_UphillGWIncr,
LF,LF_UphillGWRelease,
LF,LF_UphillGWStore,
LF,LF_UpHillRainIn,
LF,LF_VertFlow,layer_df
LF,LF_VMaxDailyFlow,zonelayer_df
MC,MC_StrLitSomTransFrac,zone_df
MC,MC_Act,zone_df
MC2,MC2_Act,zonelayer_df
MC2,MC2_Act_LayerTrans,zonelayer_df
MC,MC_Act_LitSomTrans,zone_df
MC2,MC2_Act_SomTrans,zonelayer_df
MC,MC_ActCO2,zone_df
MC2,MC2_ActCO2,zone_df
MC,MC_ActCO2In,zone_df
MC2,MC2_ActCO2In,zonelayer_df
MC,MC_ActDecomDec,zonenut_df
MC2,MC2_ActDecomDec,zonelayer_df
MC,MC_ActDecomDecMin,zone_df
MC2,MC2_ActDecomDecMin,zonelayer_df
MC,MC_ActLitSomTransFrac,zone_df
MC,MC_ActPass,zone_df
MC2,MC2_ActPass,zonelayer_df
MC,MC_ActPassF,zone_df
MC2,MC2_ActPassF,zonelayer_df
MC,MC_ActResp,
MC2,MC2_ActResp,
MC,MC_ActSlw,zone_df
MC2,MC2_ActSlw,zonelayer_df
MC,MC_ActSlwF,zone_df
MC2,MC2_ActSlwF,zonelayer_df
MC,MC_ActTot,zone_df
MC2,MC2_Clay,
MC2,MC2_ClayperZone,zone_df
MC2,MC2_CorgInit,
MC2,MC2_CrefMeth,
MC2,MC2_CSlowFrac,
MC,MC_EffActSlw,
MC2,MC2_EffActSlw,
MC2,MC2_InputLign,zonelayer_df
MC2,MC2_InputRtAmount,zonelayer_df
MC2,MC2_kActCorrectedLayer,zone_df
MC,MC_kActCur,zone_df
MC2,MC2_kActCur,zonelayer_df
MC,MC_kMetabCur,zone_df
MC2,MC2_kMetabCur,zonelayer_df
MC2,MC2_kPassCorrectedLayer,zone_df
MC,MC_kPassCur,zone_df
MC2,MC2_kPassCur,zonelayer_df
MC2,MC2_KSlowPassCurr,zonelayer_df
MC2,MC2_kSlwCorrectedLayer,zone_df
MC,MC_kSlwCur,zone_df
MC2,MC2_kSlwCur,zonelayer_df
MC,MC_kStrucCur,zone_df
MC2,MC2_kStrucCur,zonelayer_df
MC,MC_LAIperNecmss,zone_df
MC2,MC2_LitSomTrans,zonecpools_df
MC,MC_LitTemp,zone_df
MC,MC_LitTempLim,zone_df
MC,MC_LitterAmount,zone_df
MC,MC_LitterC,zone_df
MC,MC_LitterLignPolyp,zone_df
