var,label,desc,unit,min,max
E_EntrailmentCoeffBarePlot,,Entrailment coefficient for sediment movement (Rose equation) in the absence of vegetative soil cover,Ton-1 (soil) mm-1 m2,0,1
E_ErosiType,"Type of erosion equation used (1 = USLE,  = Rose)","Parameter to decide on model of erosion used. 1 = using USLE, 0 = using Rose Equation",,,
E_IntvPloughPlant,,Length of ploughing time,julian days,1,365
E_PloughBefPlant_is,,"Paramater governing option to plough before planting (0 = no ploughing, 1 = ploughing before planting)",,,
E_PloughDoY,,Date of ploughing,julian days,1,365
E_PloughY,,Year of ploughing,,0,100
E_RainFac,,"A multiplier determining impact of rainfall on soil erosion, for calculation soil loss using USLE",,0,10
E_SoilMoveperPlough,,"Amount of soil moved per ploughing event, for calculation soil loss using USLE",kg m-2 ,0,500
E_SoilType,,"Type of soil. 1 = medium, 2 = sandy, 3 = clay",,,
E_TillZone_is,Tillage per zone,"On/off switch for tilling activity in each zone (0 = no tillage, 1 = with tillage)",,,
EVAP_InitSlashM,,Initial moisture content of slashed vegetation,fraction,,
EVAP_InitWoodM,,Initial moisture content of slashed wood,fraction,,
EVAP_InterceptedWater,,Lower values would reflect: <br/>1) rainfall at night (evaporation not during peak of transpiration)<br/>2) more open landscapes where more dry wind comes in from outside the plot.,,,
EVAP_MulchEffSurfLit,,Effect of mulch on the amount of water evaporating from the soil,,,
EVAP_SlashDryFact,,Factor determined of water of slashed vegetation will evaporated,fraction,0,1
EVAP_TransRedFractionByCan,,The evaporation of water intercepted by plant canopies will reduce the potental transpiration by satisfying part of the energy-driven potential evapotranspiration; this parameter determines the fraction of canopy interception transpiration that will be reduce from Epot before we determine plant demand.,,,
EVAP_WoodDryFact,,Factor determined of water of slashed wood will evaporated,fraction,0,1
GHG_LitMinMultiplier,,Multiplier of litter mineralization for quick modifications of nitrogen oxide emission,,,
GHG_N2_per_Nox,,Ratio of nitrous and nitric oxide,,,
LF_FracGWReleaseAsInflow,,The fraction of groundwater that flow out that reaches the simulated zone (this depends on subsoil stratification and landscape characteristics beyond the scope of out current model),,,
LF_GWReleaseFraction,,The fraction of the current stock of groundwater that flows out on a daily basis. A stock of groundwater stored uphill depends on the ?number of plots uphill?.,,,
LF_SubSurfInflow4,,Amount of sub surface water inflow in layer 4,mm day-1,0,5
Lrvm,Max. root length density,,cm/cm3 ,,
MC_Carbon,,Proportion of total carbon in plant litter and residue,,0,0.5
MC_CExtOrg,,Carbon concentration of external input,,0,1
MC_CNRatInitMetab,,Initial C:N ratio metabolic pool of litter,,,
MC_LignExtOrg,,Lignin concentration of external input.,,0,1
MC_PolypExtOrg,,Polyphenol concentration of external input,,0,1
MC_RelKActLit,,Decomposition rate of active surface litter pool relative to decomposition rate of active soil fraction pool. It's assumed the decomposition rate of active surface litter and active soil fraction is the same.,,,
MC_RelKMetabLit,,"Decomposition rate of metabolic surface litter pool relative to decomposition rate of metabolic soil litter pool. It's adopted from century model, the decomposition rate of metabolic surface litter pool = 0.028 per week = 0.04 per day and the decomposition rate of metabolic soil litter pool = 0.35 per week = 0.05 per day.",,,
MC_RelKPassLit,,Decomposition rate of passive surface litter pool relative to decomposition rate of passive soil fraction pool. It's assumed the decomposition rate of passive surface litter and passive soil fraction is the same.,,,
MC_RelKSlwLit,,Decomposition rate of slow surface litter pool relative to decomposition rate of slow soil fraction pool. It's assumed the decomposition rate of slow surface litter and slow soil fraction is the same.,,,
MC_RelKStrucLit,,"Decomposition rate of structural surface litter pool relative to decomposition rate of structural soil litter pool. It's adopted from century model, the decomposition rate of structural surface litter pool = 0.076 per week = 0.010857 per day and the decomposition rate of structural soil litter pool = 0.094 per week = 0.013429 per day.",,,
MC2_Clay,,Proportion of clay in soil (only for soil organic matter type 2),,0,1
MC2_ClayCoeffCref,,Coefficient of clay based on tabulated Cref for soil organic matter type 2,,,
MC2_CNRatInitMetab,,Initial C:N ratio metabolic pool of soil organic matter,,,
MC2_CorgInitMeth3,,Initial soil organic carbon value in soil organic matter pool using Type 3.,gr cm-2,,
MC2_CorgpCref,,Initial soil organic carbon value in soil organic matter pool using Type 3.,gr cm-2,,
